iter	Passed	Remaining
650	199622	107017
651	199949	106721
652	200247	106410
653	200539	106095
654	200823	105777
655	201141	105476
656	201385	105137
657	201678	104823
658	201971	104510
659	202285	104207
660	202584	103897
661	202882	103586
662	203168	103269
663	203481	102966
664	203812	102672
665	204155	102384
666	204436	102065
667	204729	101751
668	205049	101451
669	205287	101111
670	205576	100796
671	205843	100471
672	206119	100150
673	206418	99840
674	206674	99510
675	206934	99181
676	207215	98863
677	207511	98552
678	207781	98229
679	208161	97958
680	208471	97654
681	208759	97339
682	209029	97016
683	209368	96725
684	209649	96408
685	209961	96104
686	210240	95786
687	210492	95456
688	210782	95142
689	211076	94831
690	211350	94511
691	211664	94208
692	211950	93894
693	212261	93590
694	212575	93288
695	212900	92991
696	213201	92683
697	213519	92382
698	213833	92080
699	214125	91768
700	214443	91467
701	214747	91160
702	214987	90826
703	215301	90524
704	215561	90199
705	215853	89887
706	216077	89548
707	216335	89223
708	216613	88906
709	216927	88604
710	217191	88281
711	217467	87964
712	217767	87656
713	218032	87335
714	218312	87019
715	218664	86732
716	218998	86438
717	219305	86134
718	219620	85832
719	219964	85541
720	220246	85227
721	220570	84928
722	220904	84634
723	221178	84316
724	221464	84003
725	221798	83708
726	222088	83397
727	222372	83084
728	222609	82753
729	222933	82454
730	223183	82129
731	223518	81834
732	223805	81522
733	224111	81217
734	224419	80913
735	224658	80584
736	224914	80261
737	225277	79976
738	225571	79667
739	225838	79348
740	226139	79041
741	226418	78727
742	226790	78445
743	227069	78131
744	227335	77812
745	227662	77515
746	227948	77203
747	228180	76873
748	228472	76564
749	228757	76252
750	229008	75929
751	229268	75609
752	229589	75310
753	229875	74999
754	230184	74695
755	230446	74376
756	230710	74058
757	231002	73750
758	231307	73445
759	231576	73129
760	231862	72818
761	232160	72512
762	232451	72203
763	232744	71895
764	233019	71581
765	233340	71281
766	233613	70967
767	233934	70667
768	234234	70361
769	234586	70071
770	234872	69761
771	235170	69454
772	235457	69144
773	235684	68817
774	235995	68514
775	236229	68190
776	236475	67868
777	236745	67554
778	237041	67248
779	237333	66940
780	237618	66630
781	237935	66329
782	238196	66013
783	238480	65703
784	238781	65398
785	239079	65092
786	239390	64790
787	239709	64490
788	239986	64178
789	240239	63861
790	240540	63556
791	240855	63254
792	241159	62950
793	241417	62634
794	241656	62314
795	241944	62005
796	242235	61698
797	242540	61394
798	242816	61083
799	243080	60770
800	243376	60464
801	243706	60166
802	243987	59857
803	244266	59547
804	244538	59236
805	244831	58929
806	245092	58615
807	245381	58308
808	245599	57984
809	245872	57673
810	246120	57357
811	246453	57060
812	246726	56750
813	246949	56428
814	247247	56123
815	247545	55819
816	247802	55505
817	248129	55207
818	248434	54904
819	248733	54600
820	249051	54299
821	249347	53994
822	249647	53690
823	249963	53390
824	250298	53093
825	250598	52789
826	250924	52490
827	251234	52188
828	251564	51890
829	251808	51575
830	252085	51266
831	252365	50958
832	252608	50643
833	252870	50331
834	253157	50025
835	253462	49722
836	253731	49412
837	254057	49113
838	254394	48816
839	254681	48510
840	254955	48202
841	255219	47891
842	255502	47584
843	255816	47283
844	256113	46979
845	256430	46678
846	256712	46371
847	257034	46072
848	257289	45760
849	257617	45461
850	257962	45166
851	258263	44862
852	258559	44558
853	258899	44261
854	259172	43953
855	259465	43648
856	259735	43339
857	260124	43050
858	260373	42738
859	260717	42442
860	261016	42138
861	261324	41836
862	261696	41543
863	262069	41251
864	262318	40939
865	262667	40643
866	262934	40334
867	263228	40030
868	263538	39727
869	263856	39426
870	264166	39124
871	264521	38828
872	264777	38518
873	265078	38215
874	265338	37905
875	265643	37602
876	265877	37289
877	266215	36991
878	266540	36691
879	266882	36393
880	267149	36084
881	267404	35775
882	267678	35468
883	268032	35171
884	268267	34859
885	268590	34559
886	268876	34253
887	269192	33952
888	269465	33645
889	269812	33347
890	270121	33045
891	270464	32746
892	270785	32445
893	271028	32135
894	271331	31832
895	271572	31521
896	271893	31220
897	272165	30914
898	272448	30608
899	272804	30311
900	273156	30013
901	273431	29707
902	273762	29407
903	274055	29103
904	274348	28798
905	274660	28496
906	274956	28192
907	275357	27899
908	275667	27597
909	275974	27294
910	276218	26985
911	276486	26678
912	276801	26376
913	277058	26068
914	277334	25763
915	277679	25464
916	278009	25163
917	278360	24864
918	278684	24563
919	279005	24261
920	279344	23961
921	279666	23659
922	279974	23356
923	280280	23053
924	280584	22750
925	280838	22442
926	281159	22140
927	281398	21832
928	281663	21526
929	281961	21222
930	282265	20919
931	282545	20614
932	282801	20308
933	283154	20008
934	283426	19703
935	283711	19399
936	284028	19096
937	284355	18795
938	284679	18493
939	284928	18186
940	285262	17885
941	285546	17581
942	285829	17277
943	286144	16974
944	286439	16671
945	286733	16367
946	287045	16064
947	287400	15764
948	287671	15459
949	287958	15155
950	288269	14852
951	288623	14552
952	288970	14251
953	289258	13947
954	289597	13645
955	289867	13341
956	290183	13038
957	290509	12736
958	290798	12432
959	291095	12128
960	291390	11825
961	291722	11523
962	292001	11219
963	292298	10915
964	292572	10611
965	292845	10307
966	293118	10003
967	293440	9700
968	293734	9397
969	294103	9095
970	294369	8791
971	294666	8488
972	294958	8184
973	295309	7883
974	295552	7578
975	295814	7274
976	296158	6972
977	296464	6668
978	296780	6366
979	297124	6063
980	297395	5759
981	297634	5455
982	297885	5151
983	298103	4847
984	298253	4541
985	298352	4236
986	298475	3931
987	298570	3626
988	298671	3321
989	298763	3017
990	298871	2714
991	298961	2410
992	299049	2108
993	299158	1805
994	299248	1503
995	299335	1202
996	299439	901
997	299525	600
998	299611	299
999	299715	0
